item,score
uncontrolled,0.295260913845
unusually,0.33024078021
unfit,0.0831678398986
unpredictable,0.328695033858
unable,0.507990869498
unemployment,0.358559759403
unemployed,0.160868708485
unconventional,0.26598150346
unusual,0.315658187743
untouchable,0.0905824547805
unfortunate,0.292392227729
unfairness,0.233109471007
unduly,0.126094189126
unhealthy,0.326890798114
unacceptable,0.3952608035
unwind,0.248294573574
unaccustomed,0.153832476572
uncontrollable,0.157109962285
uneven-ness,0.0
unoccupied,0.291032706146
unofficially,0.348733805808
unbelievably,0.109237729692
unnecessarily,0.201275101019
uneasy,0.107305795165
unnecessary,0.327518995496
uninformed,0.184331793006
unpopular,0.0
unauthorized,0.262079693413
unfamiliar,0.0802262532711
unattended,0.0516063474158
unlicensed,0.364349759943
unsatisfactory,0.345810308485
unmarried,0.496748217021
unintentionally,0.333811154925
untrained,0.284164822374
unreliable,0.282940288378
unnatural,0.0
unexpected,0.0935211323433
uninsured,0.257619172261
unorthodox,0.190749328114
unavailable,0.126661761984
unlikely,0.357975090119
unannounced,0.109963518048
unused,0.22513159806
unfortunately,0.369124737984
unintentional,0.34364476302
unanswered,0.0600126403077
unusable,0.248315623202
unthinkable,0.110891272772
unarmed,0.433775575332
uninhabitable,0.187823771774
unethical,0.228913246803
unequal,0.212874065466
unproductive,0.263805841776
unkind,0.159957533399
unquestionably,0.0756867191612
unincorporated,0.283659550582
unsuitable,0.393447208968
unimportant,0.199585613301
unregulated,0.259124258614
unfriendly,0.212978350571
unimaginable,0.197513187905
immediate,0.180234522655
impact,0.101201491985
impossible,0.202010008918
impress,0.134522528839
import,0.160340846169
impersonation,0.119594840388
impartial,0.0796474768244
immigration,0.364641074086
immigrate,0.337641400012
immigrant,0.548129186976
imbalance,0.294439325736
impossibility,0.317527984982
imply,0.0848636391616
implant,0.155392935985
impose,0.219210802149
impractical,0.157279640987
impulse,0.247579769735
immortal,0.328682306329
impolite,0.196844208059
impatient,0.090106545392
immature,0.336856568577
imprint,0.187185842902
impart,0.165356538382
impersonal,0.10611394832
immaterial,0.113673988667
imposition,0.0822164094479
improper,0.304020545222
impair,0.145129564367
immoral,0.299788513571
importer,0.119574418007
improperly,0.301895478776
imperfect,0.0
immorality,0.325431215659
disease,0.174879524591
disagree,0.338661724088
dissatisfied,0.179988973856
dissolve,0.105072222476
disadvantage,0.396623539769
disrepair,0.302792385415
distribute,0.0979401412265
dispose,0.216249296841
disappear,0.334570873469
disarm,0.359235666038
disregard,0.36453432756
disagreement,0.250067967501
distiller,0.0605013714676
disability,0.161469729804
dissimilar,0.315443403629
dislike,0.257014687141
discover,0.0
dishonest,0.0
disgraceful,0.1066020846
disqualify,0.270797533236
dissolution,0.161143565586
discount,0.157093296499
distrust,0.240742479092
solely,0.0243368196018
eventually,0.375244640347
totally,0.0775080958766
nicely,0.0
precisely,0.408122179599
occasionally,0.553058535749
typically,0.527002083543
carefully,0.347959649283
economically,0.229238694264
financially,0.289224146587
particularly,0.169589638472
hopefully,0.150035309305
originally,0.297616449558
calmly,0.275622132237
frequently,0.199800943441
inordinately,0.089464934736
vociferously,0.183714850134
lovely,0.0
constitutionally,0.0195571820133
monthly,0.253772390095
traditionally,0.542417959276
illegally,0.533870471091
historically,0.358365395253
socially,0.0620095504888
naturally,0.0
previously,0.285356018532
greatly,0.12113041075
secretly,0.391755631563
nightly,0.372351081903
mentally,0.330110830449
earthly,0.388057472878
definitely,0.26172117975
faithfully,0.300470024941
excessively,0.374045178042
badly,0.355387238924
dearly,0.364189454612
oddly,0.176153148703
publicly,0.307300813772
amazingly,0.318040124174
spiritually,0.0723346304996
roughly,0.264927015073
ridiculously,0.0
partially,0.306657519208
threateningly,0.122262617067
formerly,0.125705145664
blatantly,0.304871088526
emotionally,0.42995332705
musically,0.288426883728
mathematically,0.450652185
gainfully,0.132240392588
successfully,0.333291093958
actively,0.0944360056255
electrically,0.461235347624
unofficially,0.27259970051
globally,0.438841866254
immensely,0.233252876651
tastefully,0.354657601875
bluntly,0.0
incorrectly,0.348818525112
frightfully,0.108452560426
swiftly,0.174000078391
uproariously,0.124001601765
progressively,0.25415737796
internationally,0.129700408072
confidently,0.263429557587
happily,0.0
grudgingly,0.138216560103
cohesively,0.123755499818
unconditionally,0.263407633745
secondly,0.102571405016
theoretically,0.313504092508
logically,0.427736875227
annually,0.533499458771
rightfully,0.215346441422
selfishly,0.2097513844
evenly,0.163332485041
feverishly,0.123310718154
peculiarly,0.319068388489
jointly,0.051352564135
retroactively,0.257131511392
truthfully,0.202271918696
fundamentally,0.243585031704
structurally,0.340606662172
alternately,0.331795500244
prominently,0.339430899858
indiscriminately,0.272643227838
psychologically,0.301034137408
tediously,0.184258317069
contractually,0.291896121143
securely,0.300105666521
allegedly,0.573378451338
commercially,0.188276021466
anonymously,0.340362973415
unconsciously,0.289732072075
proportionally,0.2687314319
earnestly,0.200326405433
wishfully,0.071011990102
statistically,0.358822443946
conscientiously,0.0
horizontally,0.476697841477
manly,0.0684668876705
therapeutically,0.113437195439
ravenously,0.150838198713
educationally,0.2200395276
briskly,0.210130756666
provisionally,0.26146117671
painlessly,0.157642615954
painfully,0.367850990786
distinctly,0.355619278669
ecologically,0.311118216278
vigorously,0.283719705497
philosophically,0.357607908576
regionally,0.295354778826
sequentially,0.327264232424
normally,0.145982158765
usually,0.354460252733
really,0.347812862103
professionally,0.283451438703
actually,0.277265414049
elderly,0.203273605083
finally,0.219371780203
especially,0.182576875041
uncontrolled,0.295260913845
unusually,0.33024078021
unfit,0.0831678398986
unpredictable,0.328695033858
unable,0.507990869498
unemployment,0.358559759403
unemployed,0.160868708485
unconventional,0.26598150346
unusual,0.315658187743
untouchable,0.0905824547805
unfortunate,0.292392227729
unfairness,0.233109471007
unduly,0.126094189126
unhealthy,0.326890798114
unacceptable,0.3952608035
unwind,0.248294573574
unaccustomed,0.153832476572
uncontrollable,0.157109962285
uneven-ness,0.0
unoccupied,0.291032706146
unofficially,0.348733805808
unbelievably,0.109237729692
unnecessarily,0.201275101019
uneasy,0.107305795165
unnecessary,0.327518995496
uninformed,0.184331793006
unpopular,0.0
unauthorized,0.262079693413
unfamiliar,0.0802262532711
unattended,0.0516063474158
unlicensed,0.364349759943
unsatisfactory,0.345810308485
unmarried,0.496748217021
unintentionally,0.333811154925
untrained,0.284164822374
unreliable,0.282940288378
unnatural,0.0
unexpected,0.0935211323433
uninsured,0.257619172261
unorthodox,0.190749328114
unavailable,0.126661761984
unlikely,0.357975090119
unannounced,0.109963518048
unused,0.22513159806
unfortunately,0.369124737984
unintentional,0.34364476302
unanswered,0.0600126403077
unusable,0.248315623202
unthinkable,0.110891272772
unarmed,0.433775575332
uninhabitable,0.187823771774
unethical,0.228913246803
unequal,0.212874065466
unproductive,0.263805841776
unkind,0.159957533399
unquestionably,0.0756867191612
unincorporated,0.283659550582
unsuitable,0.393447208968
unimportant,0.199585613301
unregulated,0.259124258614
unfriendly,0.212978350571
unimaginable,0.197513187905
immediate,0.180234522655
impact,0.101201491985
impossible,0.202010008918
impress,0.134522528839
import,0.160340846169
impersonation,0.119594840388
impartial,0.0796474768244
immigration,0.364641074086
immigrate,0.337641400012
immigrant,0.548129186976
